site_id,mean_temp,dew_point,max_temp,min_temp,sea_level_pressure,station_pressure,visibility,wind_speed,max_wind_speed,wind_gust,precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado,date
471080-99999,29.388461538461538,22.915384615384614,35.957692307692305,21.984615384615385,1021.9923076923077,1021.926923076923,7.234615384615385,3.569230769230769,8.903846153846153,24.44830365421325,0.0,1.2,0.15384615384615385,0.15384615384615385,0.5,0.0,0.0,0.0,1950-12-01
471080-99999,46.4,44.6,50.4,45.3,1016.3,1014.8,7.2,1.3,5.1,24.44830365421325,0.0,1.2,0.0,1.0,0.0,0.0,0.0,0.0,1951-03-01
471080-99999,49.526666666666664,42.78,59.93333333333333,40.16,1017.9033333333333,1016.3533333333332,7.446666666666667,4.6866666666666665,13.856666666666666,24.44830365421325,0.0,1.2,0.2,0.26666666666666666,0.0,0.0,0.0,0.0,1951-04-01
471080-99999,61.23225806451613,54.061290322580646,70.92903225806452,53.3516129032258,1010.2741935483871,1009.8193548387097,8.093548387096774,4.84516129032258,12.903225806451612,24.44830365421325,0.0,1.2,0.2903225806451613,0.45161290322580644,0.0,0.0,0.03225806451612903,0.0,1951-05-01
471080-99999,69.36999999999999,61.06333333333334,78.76666666666667,61.14,1007.3466666666667,1005.7933333333333,9.556666666666667,4.443333333333333,11.526666666666667,24.44830365421325,0.0,1.2,0.16666666666666666,0.23333333333333334,0.0,0.0,0.03333333333333333,0.0,1951-06-01
471080-99999,77.35161290322581,69.89354838709677,85.20967741935483,71.6,1008.3677419354839,1006.758064516129,8.587096774193547,4.390322580645161,11.13225806451613,24.44830365421325,0.0,1.2,0.5483870967741935,0.5161290322580645,0.0,0.0,0.0,0.0,1951-07-01
471080-99999,80.10645161290323,74.63870967741936,86.5741935483871,74.7709677419355,1007.5677419354838,1005.9774193548387,8.04516129032258,5.6,12.474193548387097,24.44830365421325,0.0,1.2,0.6129032258064516,0.5161290322580645,0.0,0.0,0.06451612903225806,0.0,1951-08-01
471080-99999,66.07,58.88333333333333,76.17333333333333,58.129999999999995,1013.64,1012.5033333333333,7.093333333333333,3.453333333333333,11.129999999999999,24.44830365421325,0.0,1.2,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,1951-09-01
471080-99999,57.958064516129035,50.78709677419355,69.18064516129031,49.309677419354834,1018.2677419354839,1016.8419354838709,6.612903225806452,4.580645161290323,10.893548387096773,24.44830365421325,0.0,1.2,0.3225806451612903,0.22580645161290322,0.0,0.0,0.03225806451612903,0.0,1951-10-01
471080-99999,42.49333333333333,37.29333333333333,51.53333333333333,34.85666666666667,1022.51,1021.0566666666667,5.886666666666667,6.6066666666666665,14.613333333333333,24.44830365421325,0.0,1.2,0.43333333333333335,0.36666666666666664,0.16666666666666666,0.0,0.0,0.0,1951-11-01
