site_id,segment_id,year,state
474250-99999,6,2015,0
474250-99999,6,2016,0
474250-99999,6,2017,0
474250-99999,6,2018,0
474250-99999,6,2019,0
761220-99999,0,1949,0
761220-99999,0,1950,0
761220-99999,0,1951,0
761220-99999,0,1952,0
761220-99999,0,1953,0
761220-99999,0,1954,0
761220-99999,0,1955,0
761220-99999,0,1956,0
761220-99999,0,1957,0
761220-99999,0,1958,0
761220-99999,0,1959,0
761220-99999,0,1960,0
761220-99999,0,1961,0
761220-99999,0,1962,0
761220-99999,0,1963,0
761220-99999,0,1964,0
761220-99999,0,1965,0
761220-99999,0,1966,0
761220-99999,0,1967,0
761220-99999,0,1968,0
761220-99999,0,1969,0
761220-99999,0,1970,0
761220-99999,0,1971,0
761220-99999,0,1972,0
761220-99999,0,1973,0
761220-99999,0,1974,0
761220-99999,0,1975,0
761220-99999,0,1976,0
761220-99999,0,1977,0
761220-99999,0,1978,0
761220-99999,0,1979,0
761220-99999,1,1980,0
761220-99999,1,1981,0
761220-99999,1,1982,0
761220-99999,1,1983,0
761220-99999,1,1984,0
761220-99999,1,1985,0
761220-99999,2,1987,0
761220-99999,2,1988,0
761220-99999,2,1989,0
761220-99999,2,1990,0
761220-99999,2,1991,0
761220-99999,2,1992,0
761220-99999,2,1993,0
761220-99999,2,1994,0
761220-99999,2,1995,0
761220-99999,2,1996,0
761220-99999,3,1997,0
761220-99999,3,1998,0
761220-99999,3,1999,0
761220-99999,3,2000,0
761220-99999,3,2001,0
761220-99999,4,2002,0
761220-99999,4,2003,0
761220-99999,4,2004,0
761220-99999,4,2005,0
761220-99999,4,2006,0
761220-99999,4,2007,0
761220-99999,4,2008,0
761220-99999,4,2009,0
761220-99999,4,2010,0
761220-99999,4,2011,0
761220-99999,5,2012,1
761220-99999,5,2013,1
761220-99999,5,2014,1
761220-99999,5,2015,1
761220-99999,5,2016,1
761220-99999,6,2017,1
761220-99999,6,2018,1
761220-99999,6,2019,1
843900-99999,0,1942,0
843900-99999,0,1943,0
843900-99999,0,1944,0
843900-99999,0,1945,0
843900-99999,0,1946,0
843900-99999,1,1947,1
843900-99999,1,1948,1
843900-99999,1,1949,1
843900-99999,1,1950,1
843900-99999,1,1951,1
843900-99999,1,1952,1
843900-99999,1,1953,1
843900-99999,1,1954,1
843900-99999,1,1955,1
843900-99999,1,1956,1
843900-99999,1,1957,1
843900-99999,1,1958,1
843900-99999,1,1959,1
843900-99999,1,1960,1
843900-99999,1,1961,1
843900-99999,1,1962,1
843900-99999,1,1963,1
843900-99999,1,1964,1
843900-99999,1,1965,1
843900-99999,1,1966,1
843900-99999,1,1967,1
843900-99999,1,1968,1
843900-99999,1,1969,1
843900-99999,1,1970,1
843900-99999,1,1971,1
843900-99999,1,1972,1
843900-99999,1,1973,1
843900-99999,1,1974,1
843900-99999,1,1975,1
843900-99999,1,1976,1
843900-99999,1,1977,1
843900-99999,1,1978,1
843900-99999,1,1979,1
843900-99999,1,1980,1
843900-99999,1,1981,1
843900-99999,2,1982,0
843900-99999,2,1983,0
843900-99999,2,1984,0
843900-99999,2,1985,0
843900-99999,2,1986,0
843900-99999,3,1987,1
843900-99999,3,1988,1
843900-99999,3,1989,1
843900-99999,3,1990,1
843900-99999,3,1991,1
843900-99999,4,1992,1
843900-99999,4,1993,1
843900-99999,4,1994,1
843900-99999,4,1995,1
843900-99999,4,1996,1
