site_id,mean_temp,dew_point,max_temp,min_temp,sea_level_pressure,station_pressure,visibility,wind_speed,max_wind_speed,wind_gust,precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado,date
471100-99999,43.86989247311828,34.69139784946237,53.03118279569892,35.479569892473116,1021.505376344086,1031.4,17.14516129032258,4.938709677419355,11.736559139784946,22.9,0.0,0.4,0.20430107526881722,0.23655913978494625,0.07526881720430108,0.0,0.0,0.0,1945-01-01
471100-99999,53.232328767123285,44.3827397260274,61.3786301369863,45.8358904109589,1015.9490410958905,1013.6569863013698,7.239452054794521,5.9550684931506845,12.570136986301371,22.9,0.0,0.4,0.34794520547945207,0.2684931506849315,0.06575342465753424,0.0,0.00821917808219178,0.0,1946-01-01
471100-99999,49.71895604395605,41.3510989010989,57.418956043956044,42.57005494505494,1016.8703296703296,1014.5717032967033,7.46401098901099,5.760164835164835,12.92142857142857,22.900000000000002,0.0,0.39999999999999997,0.4230769230769231,0.3324175824175824,0.09340659340659341,0.0,0.02197802197802198,0.0,1947-01-01
471100-99999,53.47978142076502,45.027868852459015,62.13770491803279,45.757650273224044,1016.6360655737705,1014.2983606557377,8.756284153005465,4.486065573770492,11.299453551912569,22.9,0.0,0.4,0.28415300546448086,0.28688524590163933,0.04918032786885246,0.0,0.00819672131147541,0.0,1948-01-01
471100-99999,51.24764150943396,43.136792452830186,60.092452830188684,43.818867924528305,1014.8183962264151,1012.5051886792453,8.873584905660378,6.05,13.529245283018867,22.899999999999995,0.0,0.4000000000000001,0.22641509433962265,0.3018867924528302,0.08490566037735849,0.0,0.009433962264150943,0.0,1949-01-01
471100-99999,44.38921568627451,35.14019607843137,53.27450980392157,35.95392156862745,1020.7725490196078,1018.743137254902,6.5,5.370588235294117,11.438235294117648,22.9,0.0,0.4,0.2647058823529412,0.16666666666666666,0.18627450980392157,0.0,0.0,0.0,1950-01-01
471100-99999,61.64052863436123,54.9136563876652,70.50925110132158,54.37136563876652,1014.2264317180617,1011.9607929515419,7.211453744493392,6.105726872246696,13.252863436123349,22.899999999999995,0.0,0.4000000000000001,0.34801762114537443,0.3832599118942731,0.039647577092511016,0.0,0.039647577092511016,0.0,1951-01-01
471100-99999,53.04590163934426,44.44808743169399,62.05327868852459,45.18934426229508,1016.8311475409837,1014.6846994535518,7.546448087431694,5.418306010928961,13.024590163934427,22.9,0.0,0.4,0.22404371584699453,0.273224043715847,0.09289617486338798,0.00273224043715847,0.01912568306010929,0.0,1952-01-01
471100-99999,52.99616438356164,44.31972602739726,61.755616438356164,45.354246575342465,1017.2038356164384,1015.1156164383561,6.9391780821917814,5.394246575342466,12.073972602739726,22.9,0.0,0.4,0.2054794520547945,0.336986301369863,0.057534246575342465,0.0,0.030136986301369864,0.0,1953-01-01
471100-99999,53.32876712328767,45.80109589041096,62.1841095890411,45.84931506849315,1016.4312328767124,1014.3432876712328,6.954520547945206,5.7813698630136985,12.308767123287671,22.9,0.0,0.4,0.2465753424657534,0.35342465753424657,0.052054794520547946,0.0,0.021917808219178082,0.0,1954-01-01
471100-99999,53.44328767123287,44.395890410958906,62.84328767123287,45.22904109589041,1016.044109589041,1013.9539726027398,7.128493150684932,5.727671232876712,12.078904109589041,22.9,0.0,0.4,0.29315068493150687,0.3178082191780822,0.06301369863013699,0.0,0.005479452054794521,0.0,1955-01-01
471100-99999,50.753551912568305,42.889071038251366,58.93469945355191,43.33032786885246,1016.5713114754097,1014.4874316939892,7.9601092896174865,6.350273224043716,12.708743169398906,22.9,0.0,0.4,0.11748633879781421,0.3087431693989071,0.10382513661202186,0.0,0.03551912568306011,0.0,1956-01-01
471100-99999,50.787945205479446,44.5986301369863,59.805205479452056,42.776712328767125,1016.8961643835615,1014.8153424657534,8.364109589041096,4.7126027397260275,11.71109589041096,22.9,0.0,0.4,0.2,0.3150684931506849,0.0958904109589041,0.0,0.0273972602739726,0.0,1957-01-01
471100-99999,52.76082191780822,44.37013698630137,62.09452054794521,44.543561643835616,1017.1134246575343,1015.0123287671233,8.686027397260274,4.578082191780822,10.983561643835616,22.9,0.0,0.4,0.16164383561643836,0.3095890410958904,0.0547945205479452,0.0,0.00821917808219178,0.0,1958-01-01
471100-99999,53.96849315068493,46.15315068493151,62.745753424657536,46.41068493150685,1016.2093150684932,1014.0375342465753,7.748219178082191,4.8780821917808215,10.614520547945206,22.9,0.0,0.4,0.12602739726027398,0.3287671232876712,0.030136986301369864,0.0,0.03287671232876712,0.0,1959-01-01
471100-99999,54.0292349726776,45.39071038251366,62.25409836065574,46.57540983606557,1017.4770491803278,1014.7830601092895,7.32431693989071,5.102732240437158,10.781693989071037,22.9,0.0,0.4,0.20491803278688525,0.30327868852459017,0.07377049180327869,0.0,0.01639344262295082,0.0,1960-01-01
471100-99999,54.302191780821914,46.03780821917808,62.50958904109589,46.70493150684931,1017.174794520548,1014.4635616438356,8.038356164383561,4.864109589041096,10.682191780821919,22.9,0.0,0.4,0.2465753424657534,0.3178082191780822,0.06575342465753424,0.0,0.030136986301369864,0.0,1961-01-01
471100-99999,53.021369863013696,44.66301369863014,61.19424657534247,45.620821917808215,1016.5049315068493,1013.7923287671233,8.123013698630137,4.6197260273972605,10.088493150684933,22.9,0.0,0.4,0.2821917808219178,0.27945205479452057,0.07671232876712329,0.0,0.019178082191780823,0.0,1962-01-01
