site_id,segment_id,year,state
478080-99999,2,1960,0
478080-99999,2,1961,0
478080-99999,2,1962,0
478080-99999,2,1963,0
478080-99999,2,1964,0
478080-99999,3,1965,0
478080-99999,3,1966,0
478080-99999,3,1967,0
478080-99999,3,1968,0
478080-99999,3,1969,0
478080-99999,4,1970,0
478080-99999,4,1971,0
478080-99999,4,1972,0
478080-99999,4,1973,0
478080-99999,4,1974,0
478080-99999,5,1975,0
478080-99999,5,1976,0
478080-99999,5,1977,0
478080-99999,5,1978,0
478080-99999,5,1979,0
478080-99999,6,1980,0
478080-99999,6,1981,0
478080-99999,6,1982,0
478080-99999,6,1983,0
478080-99999,6,1984,0
478080-99999,7,1985,0
478080-99999,7,1986,0
478080-99999,7,1987,0
478080-99999,7,1988,0
478080-99999,7,1989,0
478080-99999,8,1990,0
478080-99999,8,1991,0
478080-99999,8,1992,0
478080-99999,8,1993,0
478080-99999,8,1994,0
478080-99999,9,1995,0
478080-99999,9,1996,0
478080-99999,9,1997,0
478080-99999,9,1998,0
478080-99999,9,1999,0
478080-99999,9,2000,0
479300-99999,0,1950,0
479300-99999,0,1951,0
479300-99999,0,1952,0
479300-99999,0,1953,0
479300-99999,0,1954,0
479300-99999,1,1955,0
479300-99999,1,1956,0
479300-99999,1,1957,0
479300-99999,1,1958,0
479300-99999,1,1959,0
479300-99999,2,1960,0
479300-99999,2,1961,0
479300-99999,2,1962,0
479300-99999,2,1963,0
479300-99999,2,1964,0
479300-99999,3,1965,0
479300-99999,3,1966,0
479300-99999,3,1967,0
479300-99999,3,1968,0
479300-99999,3,1969,0
479300-99999,4,1970,1
479300-99999,4,1971,1
479300-99999,4,1972,1
479300-99999,4,1973,1
479300-99999,4,1974,1
479300-99999,5,1975,0
479300-99999,5,1976,0
479300-99999,5,1977,0
479300-99999,5,1978,0
479300-99999,5,1979,0
479300-99999,5,1980,0
479300-99999,5,1981,0
479300-99999,5,1982,0
479300-99999,5,1983,0
479300-99999,5,1984,0
479300-99999,6,1985,0
479300-99999,6,1986,0
479300-99999,6,1987,0
479300-99999,6,1988,0
479300-99999,6,1989,0
479300-99999,7,1990,0
479300-99999,7,1991,0
479300-99999,7,1992,0
479300-99999,7,1993,0
479300-99999,7,1994,0
479300-99999,8,1995,0
479300-99999,8,1996,0
479300-99999,8,1997,0
479300-99999,8,1998,0
479300-99999,8,1999,0
479300-99999,8,2000,0
479810-99999,0,1950,0
479810-99999,0,1951,0
479810-99999,0,1952,0
479810-99999,0,1953,0
479810-99999,0,1954,0
479810-99999,1,1955,0
479810-99999,1,1956,0
479810-99999,1,1957,0
479810-99999,1,1958,0
479810-99999,1,1959,0
479810-99999,2,1960,0
479810-99999,2,1961,0
479810-99999,2,1962,0
479810-99999,2,1963,0
479810-99999,2,1964,0
479810-99999,3,1965,1
479810-99999,3,1966,1
479810-99999,3,1967,1
479810-99999,3,1968,1
479810-99999,3,1969,1
479810-99999,4,1970,0
479810-99999,4,1971,0
479810-99999,4,1972,0
479810-99999,4,1973,0
479810-99999,4,1974,0
479810-99999,5,1975,0
479810-99999,5,1976,0
479810-99999,5,1977,0
479810-99999,5,1978,0
479810-99999,5,1979,0
479810-99999,6,1980,0
479810-99999,6,1981,0
479810-99999,6,1982,0
479810-99999,6,1983,0
479810-99999,6,1984,0
479810-99999,7,1985,0
479810-99999,7,1986,0
479810-99999,7,1987,0
479810-99999,7,1988,0
479810-99999,7,1989,0
479810-99999,8,1990,0
479810-99999,8,1991,0
479810-99999,8,1992,0
479810-99999,8,1993,0
479810-99999,8,1994,0
479810-99999,9,1995,0
479810-99999,9,1996,0
479810-99999,9,1997,0
479810-99999,9,1998,0
479810-99999,9,1999,0
479810-99999,9,2000,0
722265-13821,0,1950,0
722265-13821,0,1951,0
722265-13821,0,1952,0
722265-13821,0,1953,0
722265-13821,0,1954,0
722265-13821,1,1955,0
722265-13821,1,1956,0
722265-13821,1,1957,0
722265-13821,1,1958,0
722265-13821,1,1959,0
722265-13821,2,1960,0
722265-13821,2,1961,0
722265-13821,2,1962,0
722265-13821,2,1963,0
722265-13821,2,1964,0
722265-13821,3,1965,0
722265-13821,3,1966,0
722265-13821,3,1967,0
722265-13821,3,1968,0
722265-13821,3,1969,0
722265-13821,4,1970,0
722265-13821,4,1971,0
722265-13821,4,1972,0
722265-13821,4,1973,0
722265-13821,4,1974,0
722265-13821,5,1975,0
722265-13821,5,1976,0
722265-13821,5,1977,0
722265-13821,5,1978,0
722265-13821,5,1979,0
722265-13821,6,1980,0
722265-13821,6,1981,0
722265-13821,6,1982,0
722265-13821,6,1983,0
722265-13821,6,1984,0
722265-13821,7,1985,0
722265-13821,7,1986,0
722265-13821,7,1987,0
722265-13821,7,1988,0
722265-13821,7,1989,0
722265-13821,8,1990,0
722265-13821,8,1991,0
722265-13821,8,1992,0
722265-13821,8,1993,0
722265-13821,8,1994,0
722265-13821,9,1995,0
722265-13821,9,1996,0
722265-13821,9,1997,0
722265-13821,9,1998,0
722265-13821,9,1999,0
722265-13821,9,2000,0
722860-23119,0,1950,0
722860-23119,0,1951,0
722860-23119,0,1952,0
722860-23119,0,1953,0
722860-23119,0,1954,0
722860-23119,1,1955,0
722860-23119,1,1956,0
722860-23119,1,1957,0
722860-23119,1,1958,0
722860-23119,1,1959,0
722860-23119,2,1960,0
722860-23119,2,1961,0
722860-23119,2,1962,0
722860-23119,2,1963,0
722860-23119,2,1964,0
722860-23119,3,1965,0
722860-23119,3,1966,0
722860-23119,3,1967,0
722860-23119,3,1968,0
722860-23119,3,1969,0
722860-23119,4,1970,0
722860-23119,4,1971,0
722860-23119,4,1972,0
722860-23119,4,1973,0
722860-23119,4,1974,0
722860-23119,5,1975,0
722860-23119,5,1976,0
722860-23119,5,1977,0
722860-23119,5,1978,0
722860-23119,5,1979,0
722860-23119,6,1980,0
722860-23119,6,1981,0
722860-23119,6,1982,0
722860-23119,6,1983,0
722860-23119,6,1984,0
722860-23119,7,1985,0
722860-23119,7,1986,0
722860-23119,7,1987,0
722860-23119,7,1988,0
722860-23119,7,1989,0
722860-23119,8,1990,0
722860-23119,8,1991,0
722860-23119,8,1992,0
722860-23119,8,1993,0
722860-23119,8,1994,0
722860-23119,9,1995,0
722860-23119,9,1996,0
722860-23119,9,1997,0
722860-23119,9,1998,0
722860-23119,9,1999,0
722860-23119,9,2000,0
724050-13743,0,1950,0
724050-13743,0,1951,0
724050-13743,0,1952,0
724050-13743,0,1953,0
724050-13743,0,1954,0
724050-13743,1,1955,0
724050-13743,1,1956,0
724050-13743,1,1957,0
724050-13743,1,1958,0
724050-13743,1,1959,0
724050-13743,2,1960,0
724050-13743,2,1961,0
724050-13743,2,1962,0
724050-13743,2,1963,0
724050-13743,2,1964,0
724050-13743,3,1965,0
724050-13743,3,1966,0
724050-13743,3,1967,0
724050-13743,3,1968,0
724050-13743,3,1969,0
724050-13743,4,1970,0
724050-13743,4,1971,0
724050-13743,4,1972,0
724050-13743,4,1973,0
724050-13743,4,1974,0
724050-13743,5,1975,0
724050-13743,5,1976,0
724050-13743,5,1977,0
724050-13743,5,1978,0
724050-13743,5,1979,0
724050-13743,6,1980,0
724050-13743,6,1981,0
724050-13743,6,1982,0
724050-13743,6,1983,0
724050-13743,6,1984,0
724050-13743,7,1985,0
724050-13743,7,1986,0
724050-13743,7,1987,0
724050-13743,7,1988,0
724050-13743,7,1989,0
724050-13743,8,1990,0
724050-13743,8,1991,0
724050-13743,8,1992,0
724050-13743,8,1993,0
724050-13743,8,1994,0
724050-13743,9,1995,0
724050-13743,9,1996,0
724050-13743,9,1997,0
724050-13743,9,1998,0
724050-13743,9,1999,0
724050-13743,9,2000,0
761600-99999,0,1950,1
761600-99999,0,1951,1
761600-99999,0,1952,1
761600-99999,0,1953,1
761600-99999,0,1954,1
761600-99999,1,1955,1
761600-99999,1,1956,1
761600-99999,1,1957,1
761600-99999,1,1958,1
761600-99999,1,1959,1
761600-99999,2,1960,1
761600-99999,2,1961,1
761600-99999,2,1962,1
761600-99999,2,1963,1
761600-99999,2,1964,1
761600-99999,3,1965,1
761600-99999,3,1966,1
761600-99999,3,1967,1
761600-99999,3,1968,1
761600-99999,3,1969,1
761600-99999,4,1970,1
761600-99999,4,1971,1
761600-99999,4,1972,1
761600-99999,4,1973,1
761600-99999,4,1974,1
761600-99999,5,1975,1
761600-99999,5,1976,1
761600-99999,5,1977,1
761600-99999,5,1978,1
761600-99999,5,1979,1
761600-99999,6,1980,1
761600-99999,6,1981,1
761600-99999,6,1982,1
761600-99999,6,1983,1
761600-99999,6,1984,1
761600-99999,7,1985,1
761600-99999,7,1986,1
761600-99999,7,1987,1
761600-99999,7,1988,1
761600-99999,7,1989,1
761600-99999,8,1990,1
761600-99999,8,1991,1
761600-99999,8,1992,1
761600-99999,8,1993,1
761600-99999,8,1994,1
761600-99999,9,1995,1
761600-99999,9,1996,1
761600-99999,9,1997,1
761600-99999,9,1998,1
761600-99999,9,1999,1
761600-99999,9,2000,1
763420-99999,0,1950,1
763420-99999,0,1951,1
763420-99999,0,1952,1
763420-99999,0,1953,1
763420-99999,0,1954,1
