model,avg_station_f1,ensemble_f1,ensemble_accuracy,ensemble_precision,ensemble_recall,station_f1_scores
Full HMM (with temporal dependencies),0.5304154843476295,0.625,0.5294117647058824,0.45454545454545453,1.0,"[0.5384615384615384, 0.6101694915254238, 0.5098039215686274, 0.5185185185185185, 0.4444444444444444, 0.4583333333333333, 0.5660377358490566, 0.5423728813559322, 0.46153846153846156, 0.5405405405405406, 0.47619047619047616, 0.6341463414634146, 0.5172413793103449, 0.43478260869565216, 0.6181818181818182, 0.5633802816901409, 0.6153846153846154, 0.5633802816901409, 0.4897959183673469, 0.49056603773584906, 0.5454545454545454]"
Independent Mixture Model (no temporal dependencies),0.5266667583668395,0.5970149253731343,0.47058823529411764,0.425531914893617,1.0,"[0.5714285714285714, 0.5588235294117647, 0.5714285714285714, 0.6206896551724138, 0.43478260869565216, 0.631578947368421, 0.5555555555555556, 0.5423728813559322, 0.5151515151515151, 0.5396825396825397, 0.4444444444444444, 0.5245901639344263, 0.48484848484848486, 0.5172413793103449, 0.5106382978723404, 0.52, 0.46153846153846156, 0.625, 0.5454545454545454, 0.4166666666666667, 0.46808510638297873]"
