name,f1,accuracy,precision,recall,n_features
Baseline (All 13 features),0.5957446808510638,0.6274509803921569,0.5185185185185185,0.7,13
Without temperature (10 features),0.45161290322580644,0.3333333333333333,0.3333333333333333,0.7,10
Without atmospheric (11 features),0.3793103448275862,0.29411764705882354,0.2894736842105263,0.55,11
Without precipitation (11 features),0.5,0.3333333333333333,0.3541666666666667,0.85,11
Without weather_events (7 features),0.5217391304347826,0.5686274509803921,0.46153846153846156,0.6,7
Only temperature (3 features),0.34782608695652173,0.4117647058823529,0.3076923076923077,0.4,3
Only atmospheric (2 features),0.5294117647058824,0.6862745098039216,0.6428571428571429,0.45,2
Only precipitation (2 features),0.4067796610169492,0.3137254901960784,0.3076923076923077,0.6,2
Only weather_events (6 features),0.39285714285714285,0.3333333333333333,0.3055555555555556,0.55,6
