site_id,year,mean_temp,max_temp,min_temp,sea_level_pressure,wind_speed,precipitation,state,model_name
471080-99999,1933,5.125130807269855,5.040851723199509,4.667395657067743,1014.9716162945258,0.3549654925102565,0.0573933538977529,1,gmm_2
471080-99999,1934,5.245679422511657,5.187844771437611,4.776046350039373,1014.9716162945258,0.3797164341283876,0.0550207104716978,1,gmm_2
471080-99999,1935,5.366228037753459,5.334837819675727,4.884697043011009,1014.9716162945258,0.4044673757465178,0.0526480670456427,1,gmm_2
471080-99999,1936,5.48677665299526,5.481830867913828,4.993347735982638,1014.9716162945258,0.4292183173646489,0.0502754236195877,1,gmm_2
471080-99999,1937,5.607325268237062,5.628823916151944,5.101998428954268,1014.9716162945258,0.453969258982779,0.0479027801935326,1,gmm_2
471080-99999,1938,5.727873883478871,5.775816964390046,5.210649121925904,1014.9716162945258,0.4787202006009101,0.0455301367674775,1,gmm_2
471080-99999,1939,5.848422498720673,5.922810012628162,5.3192998148975335,1014.9716162945258,0.5034711422190412,0.0431574933414224,1,gmm_2
471080-99999,1940,5.968971113962475,6.069803060866263,5.427950507869163,1014.9716162945258,0.5282220838371714,0.0407848499153673,1,gmm_2
471080-99999,1941,6.089519729204277,6.216796109104379,5.536601200840799,1014.9716162945258,0.5529730254553025,0.0384122064893122,1,gmm_2
471080-99999,1942,6.2100683444460785,6.363789157342481,5.6452518938124285,1014.9716162945258,0.5777239670734335,0.0360395630632571,1,gmm_2
471080-99999,1943,6.33061695968788,6.510782205580597,5.753902586784058,1014.9716162945258,0.6024749086915637,0.033666919637202,1,gmm_2
471080-99999,1944,6.451165574929682,6.6577752538186985,5.862553279755694,1014.9716162945258,0.6272258503096948,0.0312942762111469,1,gmm_2
471080-99999,1945,6.571714190171484,6.804768302056814,5.971203972727324,1014.9716162945258,0.651976791927825,0.0289216327850918,1,gmm_2
471080-99999,1946,6.692262805413293,6.951761350294916,6.079854665698953,1014.9716162945258,0.6767277335459561,0.0265489893590368,1,gmm_2
471080-99999,1947,6.812811420655095,7.098754398533032,6.188505358670589,1014.9716162945258,0.7014786751640871,0.0241763459329817,1,gmm_2
471080-99999,1948,6.9333600358968965,7.245747446771134,6.297156051642219,1014.9716162945258,0.7262296167822173,0.0218037025069266,1,gmm_2
471080-99999,1949,7.053908651138698,7.3927404950092495,6.405806744613848,1014.9716162945258,0.7509805584003484,0.0194310590808715,1,gmm_2
471080-99999,1950,-30.07500306992799,-33.02688223400036,-28.91186996697594,1021.9923076923076,-2.2166964976239525,-0.0193473686410805,0,gmm_2
471080-99999,1951,0.3824463256928538,0.0609692311831366,1.463252297902045,1014.3108695652172,-0.6503067600192001,-0.0217200120671356,0,gmm_2
471080-99999,1952,-6.394894850433396,-6.486192840820841,-5.640722427186525,1016.6601648351648,0.3586295614364845,-0.0240926554931907,0,gmm_2
471080-99999,1953,-5.517983146225774,-5.758115944923539,-4.517382587744919,1016.9619178082193,0.3861337771777515,-0.0264652989192458,0,gmm_2
471080-99999,1954,-5.385927681668896,-5.19276673230187,-4.765170250937679,1015.7320547945204,-0.6044577469575421,-0.0288379423453008,0,gmm_2
471080-99999,1955,-5.2834612582079075,-4.812896971734986,-5.17816339358248,1015.3898630136986,-0.0797068053394109,-0.0312105857713559,0,gmm_2
471080-99999,1956,-7.523460588171595,-7.489739539935243,-7.153896262254683,1016.3545205479452,-0.1829010692007315,-0.033583229197411,0,gmm_2
471080-99999,1957,-6.525651698957184,-6.149321834162883,-6.526615432296751,1016.3495890410958,-1.017876154979862,-0.0359558726234661,0,gmm_2
471080-99999,1958,-4.4207195220715505,-3.3749315256508083,-4.6689236434347094,1016.4780821917808,-0.407097816101456,-0.0383285160495212,0,gmm_2
471080-99999,1959,-3.676061317788644,-3.5451987513853,-3.407396238134311,1015.5887671232878,-0.1091961895518194,-0.0407011594755763,0,gmm_2
471080-99999,1960,-3.7219128822010106,-3.6198353161421792,-3.518994815317633,1016.3092896174865,-0.6086364299083868,-0.0430738029016314,0,gmm_2
471080-99999,1961,-3.2160599777160073,-3.3586099151830524,-3.1139304686293983,1015.5835616438357,-1.412571018644325,-0.0454464463276865,0,gmm_2
471080-99999,1962,-4.605648348775574,-4.572164812150426,-4.08582772086325,1014.9997260273972,-0.6187789811357831,-0.0478190897537416,0,gmm_2
471080-99999,1963,-5.325373706136496,-5.125719709117796,-4.862382507343675,1015.689589041096,-0.8071787244491588,-0.0501917331797967,0,gmm_2
471080-99999,1964,-3.1970954704141263,-3.812737440129631,-1.994501333048582,1017.1196721311476,-1.849250149774662,-0.0525643766058518,0,gmm_2
471080-99999,1965,-4.375345572599954,-4.2322958980108325,-3.97801972285707,1016.2170798898072,-0.9047457872108602,-0.0549370200319069,0,gmm_2
471080-99999,1966,-5.903641988401276,-6.38283502361427,-5.281656353597455,1016.8785074626866,-0.8430465293228391,-0.0573096634579619,0,gmm_2
471080-99999,1967,-3.755234039689846,-3.8492543654804265,-3.1886016532653585,1017.3986301369864,-0.99475030044239,-0.059682306884017,0,gmm_2
471080-99999,1968,-3.791403741687354,-2.4529073236799306,-4.104160856244029,1024.85,0.0762563489382985,-0.0620549503100721,0,gmm_2
471080-99999,1969,-4.9256436585213095,-4.71472032379873,-4.41321807554128,1028.7138372469055,1.080505007451405,-0.0644275937361272,0,gmm_2
471080-99999,1970,-0.8883897394509148,-0.1934315256484353,-0.4663286350158273,1027.4297223468468,1.0241098805262077,-0.0668002371621823,0,gmm_2
471080-99999,1971,1.1183648637542376,1.850243124152314,1.499253390335113,1023.308826564382,0.6999647918854786,-0.0599932557720368,0,gmm_2
471080-99999,1972,-0.0119910884620111,0.0628082872270425,0.5573132621977734,1018.6623211640692,0.3774313567984571,-0.052220336692767,0,gmm_2
471080-99999,1973,-2.7346481107206344,-3.1624121181665856,-2.146279743822305,1015.8013774104684,0.0761818559270235,-0.0570147583494385,0,gmm_2
471080-99999,1974,-4.315049223801729,-4.5224872403316425,-3.9673217589461984,1015.7953038674034,-0.2595842260306336,-0.0757705796525298,0,gmm_2
471080-99999,1975,-1.900573403168636,-1.7751329511245757,-1.4587894558719654,1015.9123626373624,-0.6781427373904645,-0.0780628536918572,0,gmm_2
471080-99999,1976,-3.5618033518286936,-3.613166246405953,-3.5011563754247845,1016.46,-0.5500740176600347,-0.0800850890729797,0,gmm_2
471080-99999,1977,-1.8461862434362004,-1.772905096406589,-2.037641916082542,1017.0065753424658,-0.5157340349460142,-0.0830017644003819,1,gmm_2
471080-99999,1978,-1.6176924227149456,-1.62274179376535,-1.3315262223582425,1016.2742465753424,-0.3720789837388425,-0.0853389066945168,0,gmm_2
471080-99999,1979,-1.3867328485690322,-1.559584361965598,-1.1187659403455117,1016.0254794520548,-0.0404787270522186,-0.0876924895351397,0,gmm_2
471080-99999,1980,-4.34126844621742,-4.305930635533002,-4.389423578835817,1016.301912568306,0.1617922385198005,-0.0895501089227332,0,gmm_2
471080-99999,1981,-3.478238357811456,-3.825050320283907,-3.4116015407036215,1016.1490410958904,-0.0742645150488332,-0.0915427257015015,0,gmm_2
471080-99999,1982,-1.024539057638144,-0.8868243953334627,-1.2481563271840417,1016.1690410958904,-0.0673217926087854,0.0217280417251565,1,gmm_2
471080-99999,1983,-1.1270041410264824,-1.4965436758624833,-1.076217962979527,1015.992602739726,-0.0266804400317504,0.0446746754075352,1,gmm_2
471080-99999,1984,-2.5161778103868215,-2.373422923454889,-2.1772251785339876,1016.7311475409836,-0.0602422463737957,0.0478378273368144,1,gmm_2
471080-99999,1985,-2.38070143109082,-2.50557127801639,-2.025217946899282,1016.837808219178,-0.1859456800831598,0.0917277585058148,1,gmm_2
471080-99999,1986,-2.799056925438059,-3.324331654435817,-2.6056083498180627,1016.6706849315068,-0.2009207658622891,0.0416492327268185,1,gmm_2
471080-99999,1987,-1.4891932417031128,-1.8540509349648389,-1.4810672458875231,1016.9391780821918,-0.0416492762989522,0.088928964536572,1,gmm_2
471080-99999,1988,-1.1476445516054028,-1.0903687632893408,-1.5092890733141289,1016.6456284153004,0.3035156184593823,-0.0217910558253936,1,gmm_2
471080-99999,1989,0.6661505641229581,0.3725379012374077,0.6559601674529958,1016.7928767123288,0.1399074014578563,0.0623503069735401,1,gmm_2
471080-99999,1990,0.4332745218305192,-0.2122498724422925,0.8251588056301102,1016.9712328767124,-0.0999991911705882,0.1705989653226329,1,gmm_2
471080-99999,1991,-0.2217933012838386,-0.3159417557110373,-0.499889131535248,1016.6835616438356,-0.1363441399634162,0.0161176137225191,1,gmm_2
471080-99999,1992,0.0550417126405022,-0.2351834555828063,0.2299585073155654,1016.744262295082,-0.3860052052320286,0.2703893625666465,1,gmm_2
471080-99999,1993,-0.5497371666906474,-0.5759282619745463,-0.5880671976467724,1016.8471232876713,0.134527606286543,0.0315480391830592,1,gmm_2
471080-99999,1994,2.342044325263487,2.538736019140281,2.0712684268317076,1016.4049315068492,-0.0338721370268322,0.0274378768084608,1,gmm_2
471080-99999,1995,0.0069765021491221,-0.3161887408407935,0.0169054211731989,1016.2383561643836,-0.3639157159566473,0.0578951385044919,1,gmm_2
471080-99999,1996,0.1637389058481417,0.1320237100472212,0.2041787655408953,1016.4543715846994,-0.5219741163551337,0.0270857464040634,1,gmm_2
471080-99999,1997,1.4546490750984802,1.8323179035806303,1.0010561221849628,1016.1038356164383,-0.1072905450491523,0.0087314135901441,1,gmm_2
471080-99999,1998,3.1459458462939196,3.159828037472814,3.070396262695347,1016.2983516483516,-0.2448600911624687,0.1159541527053765,1,gmm_2
471080-99999,1999,2.404131824173092,2.48072218461202,1.8872887139087453,1015.820054945055,-0.857471786906975,0.0226898067789233,1,gmm_2
471080-99999,2000,1.24948527938367,1.133930329229166,1.227032903547645,1016.0333333333334,0.0456088850900666,0.002459056547393,1,gmm_2
471080-99999,2001,1.8121860018191145,1.7380983157111487,2.002508209139968,1016.2336986301368,-0.9962319840560818,0.0153869470648924,1,gmm_2
471080-99999,2002,2.0811622852831064,1.5434046260296483,2.2640649686478227,1015.635989010989,-0.4354167642503856,0.0206664775518808,1,gmm_2
471080-99999,2003,2.0825983007958726,1.2523583847901063,2.3584397320695416,1016.3257534246576,-0.5796068131485868,0.0822091200358793,1,gmm_2
471080-99999,2004,3.072390122864526,2.552503615077775,2.789777751936896,1016.284426229508,0.1142847827101301,0.0193584577805159,1,gmm_2
471080-99999,2005,1.0239695038822203,0.483056810033446,1.1954671454100705,1016.0424657534246,0.2898950700876739,0.0151572429258894,1,gmm_2
471080-99999,2006,2.783696201315798,2.1305978034770376,2.7369945507104703,1016.0367123287672,0.2034131349934762,0.0462284035344165,1,gmm_2
471080-99999,2007,3.227586680173445,2.600347889198204,3.7430327192202526,1015.7579670329671,0.2693818998842241,-0.0072181017296889,1,gmm_2
471080-99999,2008,2.8605955127934948,2.761240835352602,2.944325879014684,1016.3489071038252,0.3867858169422158,-0.0236652328068212,1,gmm_2
471080-99999,2009,2.9535612251234085,2.7584262632598566,3.134179506337695,1015.5920547945204,0.3771180146423889,0.016487994870084,1,gmm_2
471080-99999,2010,1.623424908858361,1.2569261608130304,2.0118712951997253,1016.0235616438356,0.6495401891372321,0.0734963379343423,1,gmm_2
471080-99999,2011,1.6371242090316684,1.597069893982649,2.100795960774107,1016.610410958904,0.9981267471937184,0.074891970604853,1,gmm_2
471080-99999,2012,2.084593252449224,2.325988984589195,2.174830290245467,1015.8254098360655,1.1666639003546295,0.01973107512584,1,gmm_2
471080-99999,2013,2.7524680148577403,2.791055990458865,2.91042611384065,1015.8005479452056,1.143245068786145,-0.005809411728928,1,gmm_2
471080-99999,2014,4.365619369825566,5.390377805820258,3.85907680681229,1016.4167123287672,0.9312836816371516,-0.0583147035282028,1,gmm_2
471080-99999,2015,4.877718638141602,6.187706151923933,4.172495738076364,1016.293023255814,0.9263723104167988,-0.0804096821322074,1,gmm_2
471080-99999,2016,4.946569134181466,5.996474838743815,4.182930329891562,1016.382786885246,0.2735911640949124,-0.0602971356203153,1,gmm_2
471080-99999,2017,4.141511790893439,4.441767909438703,3.23105628298746,1016.5597260273972,0.1849885612860644,-0.0074303318453081,1,gmm_2
471080-99999,2018,4.329919659425599,4.478179629255024,3.5976441234208067,1016.6759103641456,-0.7347960099310749,-0.0384986717648023,1,gmm_2
471080-99999,2019,-12.641836571799487,-12.098657986848076,-13.890153574284586,1021.6528301886792,-0.3016972008640777,-0.1381684606910556,0,gmm_2
471100-99999,1933,7.408273628564153,8.396588895825246,6.28751593668207,-1.9540664241078505,0.6893052005954852,0.0363759882256521,0,gmm_2
471100-99999,1934,7.5179412738311555,8.509171010739067,6.396353624012008,-1.9324166463071608,0.7008823492875091,0.0363759882256521,0,gmm_2
471100-99999,1935,7.627608919098165,8.621753125652887,6.505191311341939,-1.9107668685063572,0.7124594979795331,0.0363759882256521,0,gmm_2
471100-99999,1936,7.737276564365168,8.734335240566708,6.614028998671877,-1.8891170907056676,0.7240366466715571,0.0363759882256521,0,gmm_2
471100-99999,1937,7.846944209632177,8.846917355480528,6.722866686001808,-1.867467312904864,0.7356137953635811,0.0363759882256521,0,gmm_2
471100-99999,1938,7.9566118548991795,8.959499470394348,6.831704373331746,-1.8458175351041743,0.747190944055605,0.0363759882256521,0,gmm_2
471100-99999,1939,8.066279500166182,9.072081585308169,6.940542060661677,-1.8241677573033712,0.758768092747629,0.0363759882256521,0,gmm_2
471100-99999,1940,8.175947145433192,9.18466370022199,7.049379747991615,-1.8025179795026816,0.770345241439653,0.0363759882256521,0,gmm_2
471100-99999,1941,8.285614790700194,9.29724581513581,7.1582174353215535,-1.7808682017018782,0.781922390131677,0.0363759882256521,0,gmm_2
471100-99999,1942,8.395282435967196,9.40982793004963,7.267055122651485,-1.7592184239011883,0.793499538823701,0.0363759882256521,0,gmm_2
471100-99999,1943,8.504950081234206,9.52241004496345,7.375892809981423,-1.7375686461003852,0.8050766875157249,0.0363759882256521,0,gmm_2
471100-99999,1944,8.614617726501208,9.634992159877283,7.484730497311354,-1.7159188682996955,0.8166538362077498,0.0363759882256521,0,gmm_2
471100-99999,1945,-14.03135254957899,-13.732446026723473,-14.327283980374162,4.802448088766482,-0.7936835670013265,0.0,0,gmm_2
471100-99999,1946,-4.55924861030698,-5.272416570522267,-3.862125774558436,-0.7322373816283516,0.2342523974220274,0.0,0,gmm_2
471100-99999,1947,-7.9629536882072145,-9.119508548638706,-7.0191235531324665,0.2107009706115832,0.0509258881282015,0.0,0,gmm_2
471100-99999,1948,-4.092460666131231,-4.28817755964814,-3.722690537633426,-0.0019133481468998,-1.2115962245741168,0.0,0,gmm_2
471100-99999,1949,-6.214932932195289,-6.220847532578425,-5.5526351989992335,-1.7979329177014731,0.3639153503474146,0.0,0,gmm_2
471100-99999,1950,-12.963691110087735,-12.92620844393172,-13.30874386757015,4.177869653291964,-0.303919265666444,0.0,0,gmm_2
471100-99999,1951,4.397289483265993,4.421114968382113,5.21753788989885,-2.3465978704533654,0.4427965199781587,0.0,0,gmm_2
471100-99999,1952,-4.087669866483978,-3.922275329501055,-3.855645799242651,0.2797677302693273,-0.2330471926475521,0.0,0,gmm_2
471100-99999,1953,-4.027739476999585,-4.107355464755663,-3.5819057988653284,0.6741055835248062,-0.2455294795420233,0.0,0,gmm_2
471100-99999,1954,-3.585469092006555,-3.566280199156907,-2.9779996183847146,-0.0768473784004299,0.1531709568212331,0.0,0,gmm_2
471100-99999,1955,-3.361280898794348,-2.794520002051314,-3.4894359036575153,-0.4423208882710696,0.1110494753762703,0.0,0,gmm_2
471100-99999,1956,-5.941349012191907,-6.5905261048184585,-5.279311443365536,0.1065307758983635,0.7452286152352983,0.0,0,gmm_2
471100-99999,1957,-5.797288074013764,-5.60743796400449,-5.72408929612093,0.4530334618509641,-0.8808647203903659,0.0,0,gmm_2
471100-99999,1958,-3.7147437164179777,-3.2055407805975165,-3.8484022937225006,0.6919435136244374,-1.0038081196435478,0.0,0,gmm_2
471100-99999,1959,-2.3974048382742694,-2.441725788971368,-1.872441318721336,-0.1905162976158863,-0.692230970951524,0.0,0,gmm_2
471100-99999,1960,-2.2269953710145955,-2.820798738059345,-1.5988787268326805,1.09886759201936,-0.4560037736031637,0.0,0,gmm_2
471100-99999,1961,-1.8443709176032712,-2.4527259427053707,-1.3605193687190038,0.8182627100403579,-0.6830492763072016,0.0,0,gmm_2
